"Time","Cam Hue (N0 - OZ)","Cam Sat (N0 - OZ)","Cam Val (N0 - OZ)","Air Hum (N0 - OZ)","Air Temp (N0 - OZ)","Soil Hum (N0 - OZ)","Soil Temp (N0 - OZ)","Soil Nit (N0 - OZ)","Soil Pho (N0 - OZ)","Soil Pot (N0 - OZ)","Soil pH (N0 - OZ)","Soil EC (N0 - OZ)"
1717554000000,,,,,,,,,,,,
1717554600000,,,,,,,,,,,,
1717555200000,,,,,,,,,,,,
1717555800000,,,,,,,,,,,,
1717556400000,,,,,,,,,,,,
1717557000000,,,,,,,,,,,,
1717557600000,,,,,,,,,,,,
1717558200000,,,,,,,,,,,,
1717558800000,,,,,,,,,,,,
1717559400000,,,,,,,,,,,,
1717560000000,,,,,,,,,,,,
1717560600000,,,,,,,,,,,,
1717561200000,,,,,,,,,,,,
1717561800000,,,,,,,,,,,,
1717562400000,,,,,,,,,,,,
1717563000000,,,,,,,,,,,,
1717563600000,,,,,,,,,,,,
1717564200000,,,,,,,,,,,,
1717564800000,,,,,,,,,,,,
1717565400000,,,,,,,,,,,,
1717566000000,,,,,,,,,,,,
1717566600000,,,,,,,,,,,,
1717567200000,,,,,,,,,,,,
1717567800000,,,,,,,,,,,,
1717568400000,,,,,,,,,,,,
1717569000000,,,,,,,,,,,,
1717569600000,,,,,,,,,,,,
1717570200000,,,,,,,,,,,,
1717570800000,,,,,,,,,,,,
1717571400000,,,,,,,,,,,,
1717572000000,,,,,,,,,,,,
1717572600000,,,,,,,,,,,,
1717573200000,,,,,,,,,,,,
1717573800000,,,,,,,,,,,,
1717574400000,,,,,,,,,,,,
1717575000000,,,,,,,,,,,,
1717575600000,,,,,,,,,,,,
1717576200000,,,,,,,,,,,,
1717576800000,,,,,,,,,,,,
1717577400000,,,,,,,,,,,,
1717578000000,,,,,,,,,,,,
1717578600000,,,,,,,,,,,,
1717579200000,,,,,,,,,,,,
1717579800000,,,,,,,,,,,,
1717580400000,,,,,,,,,,,,
1717581000000,,,,,,,,,,,,
1717581600000,,,,,,,,,,,,
1717582200000,,,,,,,,,,,,
1717582800000,,,,,,,,,,,,
1717583400000,,,,,,,,,,,,
1717584000000,,,,,,,,,,,,
1717584600000,,,,,,,,,,,,
1717585200000,,,,,,,,,,,,
1717585800000,,,,,,,,,,,,
1717586400000,,,,,,,,,,,,
1717587000000,,,,,,,,,,,,
1717587600000,,,,,,,,,,,,
1717588200000,,,,,,,,,,,,
1717588800000,,,,,,,,,,,,
1717589400000,,,,,,,,,,,,
1717590000000,,,,,,,,,,,,
1717590600000,,,,,,,,,,,,
1717591200000,,,,,,,,,,,,
1717591800000,,,,,,,,,,,,
1717592400000,,,,,,,,,,,,
1717593000000,,,,,,,,,,,,
1717593600000,,,,,,,,,,,,
1717594200000,,,,,,,,,,,,
1717594800000,,,,,,,,,,,,
1717595400000,,,,,,,,,,,,
1717596000000,,,,,,,,,,,,
1717596600000,,,,,,,,,,,,
1717597200000,,,,,,,,,,,,
1717597800000,,,,,,,,,,,,
1717598400000,,,,,,,,,,,,
1717599000000,,,,,,,,,,,,
1717599600000,,,,,,,,,,,,
1717600200000,,,,,,,,,,,,
1717600800000,,,,,,,,,,,,
1717601400000,,,,,,,,,,,,
1717602000000,,,,,,,,,,,,
1717602600000,,,,,,,,,,,,
1717603200000,,,,,,,,,,,,
1717603800000,,,,,,,,,,,,
1717604400000,,,,,,,,,,,,
1717605000000,,,,,,,,,,,,
1717605600000,,,,,,,,,,,,
1717606200000,,,,,,,,,,,,
1717606800000,,,,,,,,,,,,
1717607400000,,,,,,,,,,,,
1717608000000,,,,,,,,,,,,
1717608600000,,,,,,,,,,,,
1717609200000,,,,,,,,,,,,
1717609800000,,,,,,,,,,,,
1717610400000,,,,,,,,,,,,
1717611000000,,,,,,,,,,,,
1717611600000,,,,,,,,,,,,
1717612200000,,,,,,,,,,,,
1717612800000,,,,,,,,,,,,
1717613400000,,,,,,,,,,,,
1717614000000,,,,,,,,,,,,
1717614600000,,,,,,,,,,,,
1717615200000,,,,,,,,,,,,
1717615800000,,,,,,,,,,,,
1717616400000,,,,,,,,,,,,
1717617000000,,,,,,,,,,,,
1717617600000,,,,,,,,,,,,
1717618200000,,,,,,,,,,,,
1717618800000,,,,,,,,,,,,
1717619400000,,,,,,,,,,,,
1717620000000,,,,,,,,,,,,
1717620600000,,,,,,,,,,,,
1717621200000,,,,,,,,,,,,
1717621800000,,,,,,,,,,,,
1717622400000,,,,,,,,,,,,
1717623000000,,,,,,,,,,,,
1717623600000,,,,,,,,,,,,
1717624200000,,,,,,,,,,,,
1717624800000,,,,,,,,,,,,
1717625400000,,,,,,,,,,,,
1717626000000,,,,,,,,,,,,
1717626600000,,,,,,,,,,,,
1717627200000,,,,,,,,,,,,
1717627800000,,,,,,,,,,,,
1717628400000,,,,,,,,,,,,
1717629000000,,,,,,,,,,,,
1717629600000,,,,,,,,,,,,
1717630200000,,,,,,,,,,,,
1717630800000,,,,,,,,,,,,
1717631400000,,,,,,,,,,,,
1717632000000,,,,,,,,,,,,
1717632600000,,,,,,,,,,,,
1717633200000,,,,,,,,,,,,
1717633800000,,,,,,,,,,,,
