"Time","Cam Hue (N1 - OZ)","Cam Sat (N1 - OZ)","Cam Val (N1 - OZ)","Air Hum (N1 - OZ)","Air Temp (N1 - OZ)","Soil Hum (N1 - OZ)","Soil Temp (N1 - OZ)","Soil Nit (N1 - OZ)","Soil Pho (N1 - OZ)","Soil Pot (N1 - OZ)","Soil pH (N1 - OZ)","Soil EC (N1 - OZ)"
1717584600000,,,,,,,,,,,,
1717585200000,,,,,,,,,,,,
1717585800000,,,,,,,,,,,,
1717586400000,,,,,,,,,,,,
1717587000000,,,,,,,,,,,,
1717587600000,,,,,,,,,,,,
1717588200000,,,,,,,,,,,,
1717588800000,,,,,,,,,,,,
1717589400000,,,,,,,,,,,,
1717590000000,,,,,,,,,,,,
1717590600000,,,,,,,,,,,,
1717591200000,,,,,,,,,,,,
1717591800000,,,,,,,,,,,,
1717592400000,,,,,,,,,,,,
1717593000000,,,,,,,,,,,,
1717593600000,,,,,,,,,,,,
1717594200000,,,,,,,,,,,,
1717594800000,,,,,,,,,,,,
1717595400000,,,,,,,,,,,,
1717596000000,,,,,,,,,,,,
1717596600000,,,,,,,,,,,,
1717597200000,,,,,,,,,,,,
1717597800000,,,,,,,,,,,,
1717598400000,,,,,,,,,,,,
1717599000000,,,,,,,,,,,,
1717599600000,,,,,,,,,,,,
1717600200000,,,,,,,,,,,,
1717600800000,,,,,,,,,,,,
1717601400000,,,,,,,,,,,,
1717602000000,,,,,,,,,,,,
1717602600000,,,,,,,,,,,,
1717603200000,,,,,,,,,,,,
1717603800000,,,,,,,,,,,,
1717604400000,,,,,,,,,,,,
1717605000000,,,,,,,,,,,,
1717605600000,,,,,,,,,,,,
1717606200000,,,,,,,,,,,,
1717606800000,,,,,,,,,,,,
1717607400000,,,,,,,,,,,,
1717608000000,,,,,,,,,,,,
1717608600000,,,,,,,,,,,,
1717609200000,,,,,,,,,,,,
1717609800000,,,,,,,,,,,,
1717610400000,,,,,,,,,,,,
1717611000000,,,,,,,,,,,,
1717611600000,,,,,,,,,,,,
1717612200000,,,,,,,,,,,,
1717612800000,,,,,,,,,,,,
1717613400000,,,,,,,,,,,,
1717614000000,,,,,,,,,,,,
1717614600000,,,,,,,,,,,,
1717615200000,,,,,,,,,,,,
1717615800000,,,,,,,,,,,,
1717616400000,,,,,,,,,,,,
1717617000000,,,,,,,,,,,,
1717617600000,,,,,,,,,,,,
1717618200000,,,,,,,,,,,,
1717618800000,,,,,,,,,,,,
1717619400000,,,,,,,,,,,,
1717620000000,,,,,,,,,,,,
1717620600000,,,,,,,,,,,,
1717621200000,,,,,,,,,,,,
1717621800000,,,,,,,,,,,,
1717622400000,,,,,,,,,,,,
1717623000000,,,,,,,,,,,,
1717623600000,,,,,,,,,,,,
1717624200000,,,,,,,,,,,,
1717624800000,,,,,,,,,,,,
1717625400000,,,,,,,,,,,,
1717626000000,,,,,,,,,,,,
1717626600000,,,,,,,,,,,,
1717627200000,,,,,,,,,,,,
1717627800000,,,,,,,,,,,,
1717628400000,,,,,,,,,,,,
1717629000000,,,,,,,,,,,,
1717629600000,,,,,,,,,,,,
1717630200000,,,,,,,,,,,,
1717630800000,,,,,,,,,,,,
1717631400000,,,,,,,,,,,,
1717632000000,,,,,,,,,,,,
1717632600000,,,,,,,,,,,,
1717633200000,,,,,,,,,,,,
1717633800000,,,,,,,,,,,,
1717634400000,,,,,,,,,,,,
1717635000000,,,,,,,,,,,,
1717635600000,,,,,,,,,,,,
1717636200000,,,,,,,,,,,,
1717636800000,,,,,,,,,,,,
1717637400000,,,,,,,,,,,,
1717638000000,,,,,,,,,,,,
1717638600000,,,,,,,,,,,,
1717639200000,,,,,,,,,,,,
1717639800000,,,,,,,,,,,,
1717640400000,,,,,,,,,,,,
1717641000000,,,,,,,,,,,,
1717641600000,,,,,,,,,,,,
1717642200000,,,,,,,,,,,,
1717642800000,,,,,,,,,,,,
1717643400000,,,,,,,,,,,,
1717644000000,,,,,,,,,,,,
1717644600000,,,,,,,,,,,,
1717645200000,,,,,,,,,,,,
1717645800000,,,,,,,,,,,,
1717646400000,,,,,,,,,,,,
1717647000000,,,,,,,,,,,,
1717647600000,,,,,,,,,,,,
1717648200000,,,,,,,,,,,,
1717648800000,,,,,,,,,,,,
1717649400000,,,,,,,,,,,,
1717650000000,,,,,,,,,,,,
1717650600000,,,,,,,,,,,,
1717651200000,,,,,,,,,,,,
1717651800000,,,,,,,,,,,,
1717652400000,,,,,,,,,,,,
1717653000000,,,,,,,,,,,,
1717653600000,,,,,,,,,,,,
1717654200000,,,,,,,,,,,,
1717654800000,,,,,,,,,,,,
1717655400000,,,,,,,,,,,,
1717656000000,,,,,,,,,,,,
1717656600000,,,,,,,,,,,,
1717657200000,,,,,,,,,,,,
1717657800000,,,,,,,,,,,,
1717658400000,,,,,,,,,,,,
1717659000000,,,,,,,,,,,,
1717659600000,,,,,,,,,,,,
1717660200000,,,,,,,,,,,,
1717660800000,,,,,,,,,,,,
1717661400000,,,,,,,,,,,,
1717662000000,,,,,,,,,,,,
1717662600000,,,,,,,,,,,,
1717663200000,,,,,,,,,,,,
1717663800000,,,,,,,,,,,,
1717664400000,,,,,,,,,,,,
1717665000000,,,,,,,,,,,,
1717665600000,,,,,,,,,,,,
1717666200000,,,,,,,,,,,,
1717666800000,,,,,,,,,,,,
1717667400000,,,,,,,,,,,,
1717668000000,,,,,,,,,,,,
1717668600000,,,,,,,,,,,,
1717669200000,,,,,,,,,,,,
1717669800000,,,,,,,,,,,,
1717670400000,,,,,,,,,,,,
1717671000000,,,,,,,,,,,,
1717671600000,,,,,,,,,,,,
1717672200000,,,,,,,,,,,,
1717672800000,,,,,,,,,,,,
1717673400000,,,,,,,,,,,,
1717674000000,,,,,,,,,,,,
