"Time","Cam Hue (N1 - OZ)","Cam Sat (N1 - OZ)","Cam Val (N1 - OZ)","Air Hum (N1 - OZ)","Air Temp (N1 - OZ)","Soil Hum (N1 - OZ)","Soil Temp (N1 - OZ)","Soil Nit (N1 - OZ)","Soil Pho (N1 - OZ)","Soil Pot (N1 - OZ)","Soil pH (N1 - OZ)","Soil EC (N1 - OZ)"
1720774200000,,,,,,,,,,,,
1720774800000,,,,,,,,,,,,
1720775400000,,,,,,,,,,,,
1720776000000,,,,,,,,,,,,
1720776600000,,,,,,,,,,,,
1720777200000,,,,,,,,,,,,
1720777800000,,,,,,,,,,,,
1720778400000,,,,,,,,,,,,
1720779000000,,,,,,,,,,,,
1720779600000,,,,,,,,,,,,
1720780200000,,,,,,,,,,,,
1720780800000,,,,,,,,,,,,
1720781400000,,,,,,,,,,,,
1720782000000,,,,,,,,,,,,
1720782600000,,,,,,,,,,,,
1720783200000,,,,,,,,,,,,
1720783800000,,,,,,,,,,,,
1720784400000,,,,,,,,,,,,
1720785000000,,,,,,,,,,,,
1720785600000,,,,,,,,,,,,
1720786200000,,,,,,,,,,,,
1720786800000,,,,,,,,,,,,
1720787400000,,,,,,,,,,,,
1720788000000,,,,,,,,,,,,
1720788600000,,,,,,,,,,,,
1720789200000,,,,,,,,,,,,
1720789800000,,,,,,,,,,,,
1720790400000,,,,,,,,,,,,
1720791000000,,,,,,,,,,,,
1720791600000,,,,,,,,,,,,
1720792200000,,,,,,,,,,,,
1720792800000,,,,,,,,,,,,
1720793400000,,,,,,,,,,,,
1720794000000,,,,,,,,,,,,
1720794600000,,,,,,,,,,,,
1720795200000,,,,,,,,,,,,
1720795800000,,,,,,,,,,,,
1720796400000,,,,,,,,,,,,
1720797000000,,,,,,,,,,,,
1720797600000,,,,,,,,,,,,
1720798200000,,,,,,,,,,,,
1720798800000,,,,,,,,,,,,
1720799400000,,,,,,,,,,,,
1720800000000,,,,,,,,,,,,
1720800600000,,,,,,,,,,,,
1720801200000,,,,,,,,,,,,
1720801800000,,,,,,,,,,,,
1720802400000,,,,,,,,,,,,
1720803000000,,,,,,,,,,,,
1720803600000,,,,,,,,,,,,
1720804200000,,,,,,,,,,,,
1720804800000,,,,,,,,,,,,
1720805400000,,,,,,,,,,,,
1720806000000,,,,,,,,,,,,
1720806600000,,,,,,,,,,,,
1720807200000,,,,,,,,,,,,
1720807800000,,,,,,,,,,,,
1720808400000,,,,,,,,,,,,
1720809000000,,,,,,,,,,,,
1720809600000,,,,,,,,,,,,
1720810200000,,,,,,,,,,,,
1720810800000,,,,,,,,,,,,
1720811400000,,,,,,,,,,,,
1720812000000,,,,,,,,,,,,
1720812600000,,,,,,,,,,,,
1720813200000,,,,,,,,,,,,
1720813800000,,,,,,,,,,,,
1720814400000,,,,,,,,,,,,
1720815000000,,,,,,,,,,,,
1720815600000,,,,,,,,,,,,
1720816200000,,,,,,,,,,,,
1720816800000,,,,,,,,,,,,
1720817400000,,,,,,,,,,,,
1720818000000,,,,,,,,,,,,
1720818600000,,,,,,,,,,,,
1720819200000,,,,,,,,,,,,
1720819800000,,,,,,,,,,,,
1720820400000,,,,,,,,,,,,
1720821000000,,,,,,,,,,,,
1720821600000,,,,,,,,,,,,
1720822200000,,,,,,,,,,,,
1720822800000,,,,,,,,,,,,
1720823400000,,,,,,,,,,,,
1720824000000,,,,,,,,,,,,
1720824600000,,,,,,,,,,,,
1720825200000,,,,,,,,,,,,
1720825800000,,,,,,,,,,,,
1720826400000,,,,,,,,,,,,
1720827000000,,,,,,,,,,,,
1720827600000,,,,,,,,,,,,
1720828200000,,,,,,,,,,,,
1720828800000,,,,,,,,,,,,
1720829400000,,,,,,,,,,,,
1720830000000,,,,,,,,,,,,
1720830600000,,,,,,,,,,,,
1720831200000,,,,,,,,,,,,
1720831800000,,,,,,,,,,,,
1720832400000,,,,,,,,,,,,
1720833000000,,,,,,,,,,,,
1720833600000,,,,,,,,,,,,
1720834200000,,,,,,,,,,,,
1720834800000,,,,,,,,,,,,
1720835400000,,,,,,,,,,,,
1720836000000,,,,,,,,,,,,
1720836600000,,,,,,,,,,,,
1720837200000,,,,,,,,,,,,
1720837800000,,,,,,,,,,,,
1720838400000,,,,,,,,,,,,
1720839000000,,,,,,,,,,,,
1720839600000,,,,,,,,,,,,
1720840200000,,,,,,,,,,,,
1720840800000,,,,,,,,,,,,
1720841400000,,,,,,,,,,,,
1720842000000,,,,,,,,,,,,
1720842600000,,,,,,,,,,,,
1720843200000,,,,,,,,,,,,
1720843800000,,,,,,,,,,,,
1720844400000,,,,,,,,,,,,
1720845000000,,,,,,,,,,,,
1720845600000,,,,,,,,,,,,
1720846200000,,,,,,,,,,,,
